question,answer,description,type
A man walks 8m east  then 6m north. How far is he from his starting point?,10m,Using the Pythagorean theorem: sqrt(8² + 6²) = sqrt(100) = 10.,Logical
All dogs are animals. Some animals are wild. Some dogs are wild. All animals are dogs.,Neither follows,The statements do not establish that some dogs are wild or that all animals are dogs.,Logical
Find the odd one out: Lion  Tiger  Bear  Elephant,Elephant,All other animals are carnivores  while an elephant is a herbivore.,Logical
Find the next letter: B  D  G  K  ?,P,Increasing letter gaps: B → D (skip 1)  D → G (skip 2)  G → K (skip 3)  K → P (skip 4).,Logical
If today is Monday  what day will it be after 61 days?,Saturday,61 days = 8 weeks + 5 extra days. Starting from Monday  adding 5 days gives Saturday.,Logical
A  B  C  D  and E are seated in a row. B is to the left of C but right of A. D is to the right of C. Who is in the middle?,R,The correct order is P - Q - R - S - T  where R is in the middle.,Logical
All birds can fly. Penguins are birds. Penguins can fly.,Does not follow,The statement generalizes birds  but penguins are an exception as they cannot fly.,Logical
Some fruits are apples. Some apples are red. Some fruits are red.,Does not follow,The statement does not confirm that the red apples belong to the 'some fruits' category.,Logical
All engineers are graduates. Some graduates are teachers. Some engineers are teachers.,Does not follow,The given statement does not establish any direct relationship between engineers and teachers.,Logical
Some laptops are Dell. All Dell devices are expensive. Some laptops are expensive.,Follows,Since some laptops are Dell and all Dell devices are expensive  it follows that some laptops are expensive.,Logical
No fish can walk. All animals can walk. Fish are not animals.,Does not follow,The statement does not exclude fish from the animal category; it only states that fish cannot walk.,Logical
A boy introduces a girl as the daughter of his father’s sister. How is the girl related to the boy?,Cousin,The boy’s father’s sister is his aunt  and her daughter is his cousin.,Logical
A woman says  'The only brother of my mother is the father of your son.' How is the woman related to the listener?,Sister,The woman's mother's brother is her uncle  who is also the father of the listener's son  meaning the listener is her brother.,Logical
Pointing at a man  a woman says  'His mother is the only daughter of my mother.' How is the man related to the woman?,Grandson,'The only daughter of my mother' refers to the woman herself. Her daughter's son is her grandson.,Logical
A says to B  'Your mother’s husband’s sister is my aunt.' How is B related to A?,Brother,Your mother’s husband' is B’s father  and his sister is A’s aunt  meaning A and B are siblings.,Logical
A man says  'The son of my grandfather’s only son is my...',Himself,Grandfather’s only son' refers to the man’s father  and his son is himself.,Logical
If NEED is coded as MDDC  how is HELP coded?,GDOK,Each letter is shifted one place backward in alphabetical order.,Logical
If SMART is coded as TRBQS  how is CLOUD coded?,DKNVC,Each letter is replaced by the next letter in alphabetical order  except for vowels  which move two places ahead.,Logical
If TABLE is coded as GZOYV  how is CHAIR coded?,XKZSV,The letters are replaced by their opposite positions in the alphabet.,Logical
If WATER is written as YCVGT  how is MUSIC written?,OWUKE,Each letter moves two steps forward in the alphabet.,Logical
If CAT is coded as DBU  how is DOG coded?,DBU,Each letter moves one step forward in the alphabet.,Logical
Find the missing number: 2  5  10  17  ?,26,The pattern follows n² + 1.,Logical
Find the missing number: 1  3  7  13  ?,21,The pattern follows consecutive odd numbers added to the previous term.,Logical
Find the missing number: 4  12  36  108  ?,324,Each term is multiplied by 3.,Logical
Find the missing number: 8  27  64  125  ?,216,The pattern follows n³.,Logical
Find the missing number: 5  11  23  47  ?,95,The pattern follows previous term × 2 + 1.,Logical
A man walks 10m south  turns right  walks 5m  then turns right and walks 10m. Where is he now?,5m east,He moves in a rectangular pattern and ends up shifted eastward.,Logical
A person walks 8m north  turns left  walks 6m  turns left and walks 8m. Where is he now?,6m west,He moves in a rectangular path  ending 6m west of where he started.,Logical
A clock shows 6:30. What is the angle between the hour and minute hands?,15 degrees,Each hour represents 30 degrees; the hour hand moves half that in 30 minutes.,Logical
If a person walks 20m east  10m north  and 10m west  where is he from his starting point?,10m north and 10m east,The movements create a right-angled path.,Logical
A man faces west  turns 90° clockwise  then 180° counterclockwise. What direction is he facing?,East,90° clockwise = North  180° counterclockwise = East.,Logical
If CAT is coded as DBV  how is DOG coded?,EPH,Each letter moves one step forward in alphabetical order.,Logical
A person walks 9m west  then 12m north. How far is he from the starting point?,15m,Using the Pythagorean theorem: sqrt(9² + 12²) = 15.,Logical
Find the missing number: 1  4  9  16  ?,25,The pattern follows n²: 1²  2²  3²  4²  5².,Logical
A clock shows 5:15. What is the angle between the hour and minute hands?,7.5 degrees,Each hour represents 30 degrees. The hour hand moves slightly  creating a small angle.,Logical
A girl says  'The son of my father’s sister is my…',Cousin,The son of her father’s sister is her cousin.,Logical
Find the odd one out: Grapes  Mango  Carrot  Banana,Carrot,All others are fruits  but a carrot is a vegetable.,Logical
Find the missing number: 3  8  15  24  ?,35,The pattern follows n² - 1: 2²-1  3²-1  4²-1  5²-1  6²-1 = 35.,Logical
Pointing to a photograph  a woman says  'His only daughter is my aunt.' How is the person in the photo related to the woman?,Grandfather,If his only daughter is the woman's aunt  then the person in the photo is the woman's grandfather.,Logical
A train moving at 90 km/hr covers a distance in 4 hours. How much distance does it cover?,360 km,Using speed = distance/time: Distance = Speed × Time = 90 × 4 = 360 km.,Logical
Find the missing number: 4  10  18  28  ?,40,Each term follows n² + n: 1²+1  2²+2  3²+3  4²+4  5²+5 = 40.,Logical
Find the next letter: P  R  U  Y  ?,D,Increasing letter gaps.,Logical
A man walks 12m east  then 16m north. How far is he from the starting point?,20m,Using Pythagorean theorem: sqrt(12² + 16²) = 20.,Logical
A boy says  'My father’s brother is my…',Uncle,His father's brother is his uncle.,Logical
If a clock is set right at 1:00 and gains 6 minutes every hour  what is the actual time when it shows 7:00 PM?,6:30 PM,It gains 6 minutes every hour  meaning in 6 hours  it has gained 36 minutes.,Logical
Find the odd one out: Rectangle  Square  Cylinder  Triangle,Cylinder,All others are 2D shapes  but a cylinder is 3D.,Logical
If A = 2  B = 4  C = 6  find the value of DOG?,26,D(8) + O(14) + G(4) = 26.,Logical
Find the missing number: 2  6  12  20  ?,30,The pattern follows n² + n: 1²+1  2²+2  3²+3  4²+4  5²+5 = 30.,Logical
Find the missing number: 3  7  13  21  ?,31,The pattern follows consecutive odd numbers added to the previous term.,Logical
Find the missing number: 9  27  81  243  ?,729,The pattern follows n³.,Logical
If 4 cats catch 4 mice in 4 minutes  how many cats are needed to catch 100 mice in 100 minutes?,4,Each cat catches one mouse in 4 minutes  so 4 cats will always catch 100 mice in 100 minutes.,Logical
A person faces north  turns right  then left. What direction is he facing?,North,Understanding movement directions.,Logical
Find the odd one: Pen  Pencil  Eraser  Chair,Chair,All others are stationery items.,Logical
Find the missing number: 6  14  30  62  ?,126,Each term follows previous term × 2 + 2.,Logical
Find the next letter: D  H  M  S  ?,Z,Increasing letter gaps.,Logical
If RAT is coded as TCV  how is FOX coded?,HPZ,Each letter moves two steps forward in alphabetical order.,Logical
A person walks 7m west  then 24m north. How far is he from the starting point?,25m,Using the Pythagorean theorem: sqrt(7² + 24²) = 25.,Logical
Find the missing number: 5  11  19  29  ?,26,The pattern follows n² + 1: 1²+1  2²+1  3²+1  4²+1  5²+1 = 26.,Logical
A clock shows 2:50. What is the angle between the hour and minute hands?,95 degrees,Each hour represents 30 degrees  and the hour hand moves slightly  creating an angle.,Logical
A girl says  'The son of my uncle’s father is my…',Father,The son of her uncle’s father is her father.,Logical
Find the odd one out: Orange  Pineapple  Onion  Mango,Onion,All others are fruits  but an onion is a vegetable.,Logical
Find the missing number: 4  11  20  31  ?,44,The pattern follows n² + n + 2.,Logical
Pointing to a photograph  a man says  'His only daughter is my mother.' How is the person in the photo related to the man?,Grandfather,If his only daughter is the man's mother  then the person in the photo is the man's grandfather.,Logical
A train moving at 75 km/hr covers a distance in 5 hours. How much distance does it cover?,375 km,Using speed = distance/time: Distance = Speed × Time = 75 × 5 = 375 km.,Logical
Find the missing number: 5  13  25  41  ?,61,Each term follows n² + n - 1.,Logical
Find the next letter: F  J  O  U  ?,B,Increasing letter gaps.,Logical
A man walks 9m east  then 40m north. How far is he from the starting point?,41m,Using Pythagorean theorem: sqrt(9² + 40²) = 41.,Logical
A boy says  'My aunt’s son is my…',Cousin,His aunt’s son is his cousin.,Logical
If a clock is set right at 3:00 and loses 4 minutes every hour  what is the actual time when it shows 9:00 PM?,10:24 PM,It loses 4 minutes every hour  meaning in 6 hours  it has lost 24 minutes.,Logical
Find the odd one out: Cube  Sphere  Pyramid  Square,Square,All others are 3D shapes  but a square is 2D.,Logical
If A = 3  B = 6  C = 9  find the value of DOG?,42,D(12) + O(15) + G(15) = 42.,Logical
Find the missing number: 3  7  13  21  ?,35,The pattern follows n² - 1.,Logical
Find the missing number: 2  7  14  23  ?,36,The pattern follows n².,Logical
Find the missing number: 16  32  64  128  ?,256,The pattern follows powers of 2.,Logical
If 6 cats catch 6 mice in 6 minutes  how many cats are needed to catch 90 mice in 90 minutes?,6,Each cat catches one mouse in 6 minutes  so 6 cats will always catch 90 mice in 90 minutes.,Logical
A person faces west  turns left  then left again. What direction is he facing?,East,Understanding movement directions.,Logical
Find the odd one: Laptop  Keyboard  Monitor  Spoon,Spoon,All others are computer-related items.,Logical
Find the missing number: 7  15  31  63  ?,127,Each term follows previous term × 2 + 1.,Logical
Find the next letter: G  K  P  V  ?,C,Increasing letter gaps.,Logical
If PAN is coded as QBO  how is HAT coded?,IBU,Each letter moves one step forward in alphabetical order.,Logical
A person walks 12m east  then 35m north. How far is he from the starting point?,37m,Using the Pythagorean theorem: sqrt(12² + 35²) = 37.,Logical
Find the missing number: 1  5  11  19  ?,31,The pattern follows consecutive prime numbers added to the previous term.,Logical
A clock shows 10:20. What is the angle between the hour and minute hands?,130 degrees,Each hour represents 30 degrees  and the hour hand moves slightly  creating an angle.,Logical
A boy says  'The son of my grandmother’s only child is my…',Himself,The grandmother’s only child is the boy’s parent  so the son is himself.,Logical
Find the odd one out: Apple  Banana  Potato  Mango,Potato,All others are fruits  but a potato is a vegetable.,Logical
Find the missing number: 6  14  26  42  ?,62,The pattern follows n² + n + 2.,Logical
Pointing to a photograph  a woman says  'His only son is my father.' How is the person in the photo related to the woman?,Grandfather,If his only son is the woman's father  then the person in the photo is her grandfather.,Logical
A train moving at 85 km/hr covers a distance in 6 hours. How much distance does it cover?,510 km,Using speed = distance/time: Distance = Speed × Time = 85 × 6 = 510 km.,Logical
Find the missing number: 9  19  39  79  ?,159,Each term follows previous term × 2 + 1.,Logical
Find the next letter: R  U  Y  D  ?,J,Increasing letter gaps.,Logical
A man walks 15m east  then 36m north. How far is he from the starting point?,39m,Using Pythagorean theorem: sqrt(15² + 36²) = 39.,Logical
A girl says  'My aunt’s daughter is my…',Cousin,Her aunt’s daughter is her cousin.,Logical
If a clock is set right at 4:00 and gains 3 minutes every hour  what is the actual time when it shows 10:00 PM?,9:18 PM,It gains 3 minutes every hour  meaning in 6 hours  it has gained 18 minutes.,Logical
Find the odd one out: Cone  Cube  Sphere  Triangle,Triangle,All others are 3D shapes  but a triangle is 2D.,Logical
If A = 5  B = 10  C = 15  find the value of DOG?,50,D(20) + O(15) + G(15) = 50.,Logical
Find the missing number: 4  10  18  28  ?,30,The pattern follows n² + n: 1²+1  2²+2  3²+3  4²+4  5²+5 = 30.,Logical
Find the missing number: 8  17  26  35  ?,44,The pattern follows adding 9 to each previous term.,Logical
Find the missing number: 18  36  72  144  ?,288,The pattern follows doubling the previous term.,Logical
If 7 cats catch 7 mice in 7 minutes  how many cats are needed to catch 49 mice in 49 minutes?,7,Each cat catches one mouse in 7 minutes  so 7 cats will always catch 49 mice in 49 minutes.,Logical
A person faces south  turns right  then right again. What direction is he facing?,North,Understanding movement directions.,Logical
Find the odd one: Mobile  Laptop  Tablet  Refrigerator,Refrigerator,All others are portable electronic devices.,Logical
Find the missing number: 4  12  28  52  ?,84,Each term follows previous term × 2 + 4.,Logical
Find the next letter: A  E  J  P  ?,W,Increasing letter gaps.,Logical
If SUN is coded as VXP  how is MOON coded?,PRRQ,Each letter moves three steps forward in alphabetical order.,Logical
A person walks 20m west  then 48m north. How far is he from the starting point?,52m,Using the Pythagorean theorem: sqrt(20² + 48²) = 52.,Logical
Find the missing number: 5  11  19  29  ?,41,The pattern follows adding consecutive even numbers.,Logical
A clock shows 7:40. What is the angle between the hour and minute hands?,130 degrees,Each hour represents 30 degrees  and the hour hand moves slightly  creating an angle.,Logical
A boy says  'The son of my father’s father is my…',Father or Uncle,The son of his grandfather could be his father or uncle.,Logical
Find the odd one out: Lion  Elephant  Giraffe  Lizard,Lizard,All others are mammals  but a lizard is a reptile.,Logical
Find the missing number: 7  17  35  71  ?,127,Each term follows previous term × 2 + 1.,Logical
Pointing to a photograph  a person says  'Her only daughter is my sister.' How is the person in the photo related to the person?,Mother,If her only daughter is the person’s sister  then the woman in the photo is the person's mother.,Logical
A train moving at 95 km/hr covers a distance in 4.5 hours. How much distance does it cover?,427.5 km,Using speed = distance/time: Distance = Speed × Time = 95 × 4.5 = 427.5 km.,Logical
Find the missing number: 10  20  35  55  ?,80,Each term follows previous term + increasing intervals (10  15  20  25).,Logical
Find the next letter: C  H  N  U  ?,A,Increasing letter gaps.,Logical
A man walks 30m east  then 40m north. How far is he from the starting point?,50m,Using Pythagorean theorem: sqrt(30² + 40²) = 50.,Logical
A girl says  'My cousin’s father is my…',Uncle,Her cousin’s father is her uncle.,Logical
If a clock is set right at 9:00 and loses 2 minutes every hour  what is the actual time when it shows 6:00 PM?,6:18 PM,It loses 2 minutes every hour  meaning in 9 hours  it has lost 18 minutes.,Logical
Find the odd one out: Hexagon  Pentagon  Octagon  Circle,Circle,All others are polygons  but a circle is not.,Logical
If A = 6  B = 12  C = 18  find the value of DOG?,54,D(24) + O(15) + G(15) = 54.,Logical
Find the missing number: 8  18  38  78  ?,35,The pattern follows n² - 1.,Logical
Find the missing number: 5  10  20  40  ?,80,Each term doubles the previous one.,Logical
Find the missing number: 25  50  100  200  ?,400,The pattern follows multiplying by 2.,Logical
If 9 cats catch 9 mice in 9 minutes  how many cats are needed to catch 81 mice in 81 minutes?,9,Each cat catches one mouse in 9 minutes  so 9 cats will always catch 81 mice in 81 minutes.,Logical
A person faces east  turns right  then right again. What direction is he facing?,West,Understanding movement directions.,Logical
Find the odd one: Table  Chair  Fan  Sofa,Fan,All others are furniture.,Logical
Find the missing number: 10  22  46  94  ?,126,Each term follows previous term × 2 + 2.,Logical
Find the next letter: J  O  U  B  ?,J,Increasing letter gaps.,Logical
If BAT is coded as DCV  how is CAT coded?,EDV,Each letter moves two steps forward in alphabetical order.,Logical
A person walks 16m west  then 30m north. How far is he from the starting point?,34m,Using the Pythagorean theorem: sqrt(16² + 30²) = 34.,Logical
Find the missing number: 7  13  21  31  ?,43,The pattern follows adding consecutive even numbers.,Logical
A clock shows 8:25. What is the angle between the hour and minute hands?,112.5 degrees,Each hour represents 30 degrees  and the hour hand moves slightly  creating an angle.,Logical
A boy says  'The brother of my mother’s sister is my…',Uncle,The brother of his mother’s sister is his uncle.,Logical
Find the odd one out: Rabbit  Deer  Elephant  Crocodile,Crocodile,All others are mammals  but a crocodile is a reptile.,Logical
A person faces north  turns left  then left again. What direction is he facing?,159,Each term follows previous term × 2 + 1.,Logical
Pointing to a photograph  a girl says  'Her only son is my father.' How is the person in the photo related to the girl?,Grandmother,If her only son is the girl's father  then the person in the photo is the girl's grandmother.,Logical
A train moving at 100 km/hr covers a distance in 5 hours. How much distance does it cover?,500 km,Using speed = distance/time: Distance = Speed × Time = 100 × 5 = 500 km.,Logical
Find the missing number: 11  23  47  95  ?,191,Each term follows previous term × 2 + 1.,Logical
Find the next letter: K  O  T  Z  ?,G,Increasing letter gaps.,Logical
A man walks 24m east  then 32m north. How far is he from the starting point?,40m,Using Pythagorean theorem: sqrt(24² + 32²) = 40.,Logical
A boy says  'My cousin’s mother is my…',Aunt,His cousin’s mother is his aunt.,Logical
If a clock is set right at 2:00 and gains 2 minutes every hour  what is the actual time when it shows 10:00 PM?,9:16 PM,It gains 2 minutes every hour  meaning in 8 hours  it has gained 16 minutes.,Logical
Find the odd one out: Triangle  Square  Hexagon  Sphere,Sphere,All others are 2D shapes  but a sphere is 3D.,Logical
If A = 7  B = 14  C = 21  find the value of DOG?,63,D(28) + O(15) + G(20) = 63.,Logical
Find the next letter: D  I  O  V  ?,26,The pattern follows n² + 1.,Logical
Find the missing number: 12  24  48  96  ?,192,Each term follows multiplying by 2.,Logical
Find the missing number: 32  64  128  256  ?,512,The pattern follows powers of 2.,Logical
If 8 cats catch 8 mice in 8 minutes  how many cats are needed to catch 64 mice in 64 minutes?,8,Each cat catches one mouse in 8 minutes  so 8 cats will always catch 64 mice in 64 minutes.,Logical
A person faces north  turns left  then left again. What direction is he facing?,South,Understanding movement directions.,Logical
Find the odd one: Door  Window  Roof  Television,Television,All others are parts of a house.,Logical
Find the missing number: 4  10  22  46  ?,94,Each term follows previous term × 2 + 2.,Logical
Find the next letter: B  F  K  Q  ?,X,Increasing letter gaps.,Logical
If BAG is coded as DCJ  how is CAT coded?,EDV,Each letter moves two steps forward in alphabetical order.,Logical
A person walks 18m west  then 24m north. How far is he from the starting point?,30m,Using the Pythagorean theorem: sqrt(18² + 24²) = 30.,Logical
Find the missing number: 8  17  26  37  ?,50,The pattern follows adding consecutive odd numbers.,Logical
A clock shows 6:10. What is the angle between the hour and minute hands?,115 degrees,Each hour represents 30 degrees  and the hour hand moves slightly  creating an angle.,Logical
A girl says  'The sister of my father’s brother is my…',Aunt,The sister of her father’s brother is her aunt.,Logical
Find the odd one out: Dog  Cat  Cow  Lizard,Lizard,All others are mammals  but a lizard is a reptile.,Logical
Find the missing number: 12  26  42  60  ?,80,Each term follows previous term + increasing intervals (14  16  18  20).,Logical
Pointing to a photograph  a woman says  'His only daughter is my mother.' How is the person in the photo related to the woman?,Grandfather,If his only daughter is the woman's mother  then the person in the photo is the woman's grandfather.,Logical
A train moving at 110 km/hr covers a distance in 6 hours. How much distance does it cover?,660 km,Using speed = distance/time: Distance = Speed × Time = 110 × 6 = 660 km.,Logical
Find the missing number: 13  27  55  111  ?,223,Each term follows previous term × 2 + 1.,Logical
Find the next letter: M  R  X  E  ?,M,Increasing letter gaps.,Logical
A man walks 25m east  then 60m north. How far is he from the starting point?,65m,Using Pythagorean theorem: sqrt(25² + 60²) = 65.,Logical
A boy says  'My cousin’s father is my…',Uncle,His cousin’s father is his uncle.,Logical
If a clock is set right at 11:00 and loses 1.5 minutes every hour  what is the actual time when it shows 8:00 PM?,08:13.5,It loses 1.5 minutes every hour  meaning in 9 hours  it has lost 13.5 minutes.,Logical
Find the odd one out: Cube  Sphere  Pyramid  Rectangle,Rectangle,All others are 3D shapes  but a rectangle is 2D.,Logical
If A = 8  B = 16  C = 24  find the value of DOG?,72,D(32) + O(20) + G(20) = 72.,Logical
Find the missing number: 4  9  16  25  ?,36,The pattern follows n².,Logical
Find the missing number: 20  40  80  160  ?,320,Each term follows multiplying by 2.,Logical
Find the missing number: 64  128  256  512  ?,1024,The pattern follows powers of 2.,Logical
If 5 cats catch 5 mice in 5 minutes  how many cats are needed to catch 25 mice in 25 minutes?,5,Each cat catches one mouse in 5 minutes  so 5 cats will always catch 25 mice in 25 minutes.,Logical
A person faces south  turns right  then right again. What direction is he facing?,North,Understanding movement directions.,Logical
Find the odd one: Television  Laptop  Smartphone  Table,Table,All others are electronic devices.,Logical
Find the missing number: 5  15  35  75  ?,155,Each term follows previous term × 2 + 5.,Logical
Find the next letter: C  H  N  U  ?,A,Increasing letter gaps.,Logical
A  B  C  D  and E are standing in a circle. A is between B and C. D is to the right of C. Who is opposite to A?,E,Based on the given arrangement  E is opposite to A.,Logical
If TREE is coded as USFF  how is PLANT coded?,QMBOU,Each letter is shifted forward by one place.,Logical
Find the missing number: 1  4  9  16  ?,25,The sequence follows n^2: 1^2  2^2  3^2  4^2  5^2.,Logical
Find the missing number: 3  6  11  18  ?,27,The difference increases by 2 each time: +3  +5  +7  +9.,Logical
Find the missing number: 10  15  25  40  ?,60,The difference follows +5  +10  +15  +20.,Logical
Find the missing number: 2  10  30  68  ?,130,The pattern follows n^2 + n.,Logical
If 4+3=25 and 5+2=27  what is 6+1?,29,The pattern is a+b = a^2 - b.,Logical
A is taller than B  but shorter than C. D is taller than C. Who is the tallest?,D,D is taller than C  making D the tallest.,Logical
A clock shows 3:15. The minute hand is pointing at?,3,The minute hand points at 3 when it is 15 minutes past the hour.,Logical
A person walks 10m north  turns right  walks 5m  turns right again  and walks 10m. How far is he from the starting point?,5m,The person is 5m away in the east direction.,Logical
If APPLE is written as 52216  how is ORANGE written?,1521415,Each letter is converted to its position in the alphabet.,Logical
Find the odd one out: Pen  Pencil  Eraser  Apple.,Apple,Apple is not a stationary item.,Logical
If BOX is coded as YLC  how is CAT coded?,XZG,Each letter is replaced by its opposite letter in the alphabet.,Logical
If 2+3=13 and 4+5=41  what is 6+7?,85,The pattern is a+b = a*b + a.,Logical
Find the missing number: 2  6  12  20  ?,30,The difference follows +4  +6  +8  +10.,Logical
Which word does not belong: Dog  Cat  Elephant  Rose?,Rose,Rose is not an animal.,Logical
If A=1  B=2  ...  Z=26  what is the sum of the letters in 'CODE'?,27,C(3) + O(15) + D(4) + E(5) = 27.,Logical
John is older than Mike but younger than Sam. Who is the youngest?,Mike,Mike is younger than John  making him the youngest.,Logical
Find the next letter: A  C  F  J  ?,O,The sequence follows +2  +3  +4  +5.,Logical
What comes next in the sequence: 1  1  2  3  5  ?,8,It follows the Fibonacci series: 1  1  2  3  5  8.,Logical
What is 25 percent of 200,50,25 percent of 200 is calculated as 25 by 100 multiplied by 200 equals 50,Quantitative
If the sum of two numbers is 40 and their difference is 10 what are the numbers,25 and 15,Let the numbers be x and y x plus y equals 40 and x minus y equals 10 Solving x equals 25 and y equals 15,Quantitative
A train moving at 60 km per hr crosses a 120 meter platform in 10 seconds Find the length of the train,480 meters,Speed equals Distance divided by Time Total distance equals 60 multiplied by 5 divided by 18 multiplied by 10 equals 480 meters,Quantitative
A man can complete a work in 10 days Another man can complete it in 20 days How long will it take if they work together,6 point 67 days,Work done per day equals 1 divided by 10 plus 1 divided by 20 equals 3 divided by 20 Total days equals 20 divided by 3 equals 6 point 67,Quantitative
The average of 5 numbers is 20 If one number is removed and the new average is 18 find the removed number,28,Sum of 5 numbers equals 100 Sum of 4 numbers equals 72 Removed number equals 100 minus 72 equals 28,Quantitative
The simple interest on Rs 1000 at 5 percent per annum for 2 years is,Rs 100,SI equals Principal multiplied by Rate multiplied by Time divided by 100 equals 1000 multiplied by 5 multiplied by 2 divided by 100 equals 100,Quantitative
The area of a circle is 154 cm squared Find its radius,7 cm,Area equals pi r squared 154 equals 22 divided by 7 multiplied by r squared Solving r squared equals 49 so r equals 7 cm,Quantitative
A sum of money doubles in 5 years at simple interest What is the rate of interest,20 percent,SI equals Principal multiplied by Rate multiplied by Time divided by 100 Since SI equals Principal  2P equals P plus P multiplied by Rate multiplied by Time divided by 100 Solving Rate equals 20 percent,Quantitative
The LCM of 12 and 15 is,60,LCM is the least common multiple LCM of 12 and 15 equals 60,Quantitative
If 8 men can complete a work in 12 days how many days will 6 men take,16 days,Total work equals 8 multiplied by 12 Days for 6 men equals 8 multiplied by 12 divided by 6 equals 16 days,Quantitative
What is the probability of getting a head when tossing a fair coin,1 divided by 2,Probability equals Favorable outcomes divided by Total outcomes equals 1 divided by 2,Quantitative
A man bought an article for Rs 500 and sold it for Rs 600 What is the profit percentage,20 percent,Profit percent equals Selling Price minus Cost Price divided by Cost Price multiplied by 100 equals 600 minus 500 divided by 500 multiplied by 100 equals 20 percent,Quantitative
The ratio of ages of A and B is 3 is to 5 If A is 15 years old how old is B,25 years,Age of B equals 15 multiplied by 5 divided by 3 equals 25 years,Quantitative
A car covers 240 km in 4 hours What is its speed,60 km per hr,Speed equals Distance divided by Time equals 240 divided by 4 equals 60 km per hr,Quantitative
A number is increased by 20 percent and then decreased by 20 percent What is the final percentage change,4 percent decrease,Net effect equals 20 minus 20 minus 20 multiplied by 20 divided by 100 equals minus 4 percent,Quantitative
The perimeter of a rectangle is 60 cm If its length is 20 cm what is its breadth,10 cm,Perimeter equals 2 multiplied by length plus breadth Solving breadth equals 10 cm,Quantitative
The sum of the first 10 natural numbers is,55,Sum equals n multiplied by n plus 1 divided by 2 equals 10 multiplied by 11 divided by 2 equals 55,Quantitative
The square root of 256 is,16,Square root of 256 equals 16,Quantitative
If a is to b equals 2 is to 3 and b is to c equals 4 is to 5 find a is to c,8 is to 15,a is to c equals 2 multiplied by 4 divided by 3 multiplied by 5 equals 8 is to 15,Quantitative
The cost price of an item is Rs 800 If the loss is 10 percent find the selling price,Rs 720,Selling Price equals Cost Price minus 10 percent of Cost Price equals 800 minus 80 equals 720,Quantitative
A pipe fills a tank in 5 hours while another pipe empties it in 10 hours How long will it take to fill the tank,10 hours,Net rate equals 1 divided by 5 minus 1 divided by 10 equals 1 divided by 10 Time equals 10 hours,Quantitative
What is 15 percent of 450,67 point 5,15 divided by 100 multiplied by 450 equals 67 point 5,Quantitative
The compound interest on Rs 2000 at 10 percent per annum for 2 years is,Rs 420,CI equals Principal multiplied by 1 plus Rate divided by 100 to the power Time minus Principal equals 2000 multiplied by 1 point 1 squared minus 2000 equals 420,Quantitative
A car is sold for Rs 18000 at a loss of 10 percent Find its cost price,Rs 20000,Cost Price equals Selling Price divided by 1 minus loss percent equals 18000 divided by 0 point 9 equals 20000,Quantitative
If log 100 equals x find x,2,log of 100 equals log of 10 squared equals 2,Quantitative
What is the sum of the first 20 natural numbers,210,Sum equals n multiplied by n plus 1 divided by 2 equals 20 multiplied by 21 divided by 2 equals 210,Quantitative
A train 150 meters long crosses a pole in 15 seconds Find its speed,10 meters per second,Speed equals Distance divided by Time equals 150 divided by 15 equals 10 meters per second,Quantitative
